ENFI,0,Enfield
BARN,1,Barnet
HRGY,2,Haringey
WALT,3,Waltham Forest
HRRW,4,Harrow
BREN,5,Brent
CAMD,6,Camden
ISLI,7,Islington
HACK,8,Hackney
REDB,9,Redbridge
HAVE,10,Havering
HILL,11,Hillingdon
EALI,12,Ealing
KENS,13,Kensington and Chelsea
WSTM,14,Westminster
TOWH,15,Tower Hamlets
NEWH,16,Newham
BARK,17,Barking and Dagenham
HOUN,18,Hounslow
HAMM,19,Hammersmith and Fulham
WAND,20,Wandsworth
CITY,21,City of London
GWCH,22,Greenwich
BEXL,23,Bexley
RICH,24,Richmond upon Thames
MERT,25,Merton
LAMB,26,Lambeth
STHW,27,Southwark
LEWS,28,Lewisham
KING,29,Kingston upon Thames
SUTT,30,Sutton
CROY,31,Croydon
BROM,32,Bromley
